LEARNING_RATE,WEIGHT_DECAY,CLASSES_TRAINED_ON,OPT_TYPE,EPOCHS,LR_STEPS,DO_EARLY_STOPPING,STOP_AFTER,SEED,BATCH_SIZE,NUM_WORKERS,ACCURACY,VAL_ACCURACY,comment
0.001,0.01,100,Adam,10,3,True,10,0,32,1,"[0.026041666666666668, 0.052083333333333336, 0.1701388888888889, 0.34375, 0.5451388888888888, 0.6319444444444444, 0.6666666666666666, 0.6788194444444444, 0.6788194444444444, 0.6840277777777778]","[0.0125, 0.06666666716337204, 0.27916666865348816, 0.33333333730697634, 0.4875, 0.5729166746139527, 0.5854166746139526, 0.6166666746139526, 0.6104166746139527, 0.5770833373069764]",
0.001,0.001,100,Adam,10,3,True,10,0,32,1,"[0.020833333333333332, 0.12152777777777778, 0.2951388888888889, 0.6371527777777778, 0.7482638888888888, 0.8090277777777778, 0.8420138888888888, 0.8402777777777778, 0.8611111111111112, 0.8611111111111112]","[0.00625, 0.075, 0.2645833373069763, 0.45, 0.5895833373069763, 0.6729166746139527, 0.6645833373069763, 0.6166666686534882, 0.6791666746139526, 0.68125]",
0.001,0.0001,100,Adam,10,3,True,10,0,32,1,"[0.036458333333333336, 0.14583333333333334, 0.3385416666666667, 0.609375, 0.7604166666666666, 0.8350694444444444, 0.8732638888888888, 0.8680555555555556, 0.8732638888888888, 0.8715277777777778]","[0.03541666716337204, 0.16666666716337203, 0.36041666865348815, 0.5604166746139526, 0.61875, 0.61875, 0.6791666746139526, 0.68125, 0.7, 0.70625]",
0.0001,0.1,5,Adam,10,3,True,10,0,32,1,"[0.33999999761581423, 0.6112499952316284, 0.8567499995231629, 0.9058749973773956, 0.9013749957084656, 0.9169999957084656, 0.940625, 0.9334999978542328, 0.9138749957084655, 0.9263749957084656]","[0.44583334525426227, 0.7979166905085245, 0.8930555780728658, 0.9375, 0.96875, 0.956944465637207, 0.9583333333333334, 0.956944465637207, 0.9361111323038737, 0.9479166666666666]",
0.0001,0.1,27,Adam,15,3,True,10,0,32,3,"[0.1989329268292683, 0.5625, 0.8025914634146342, 0.9275914634146342, 0.9679878048780488, 0.9832317073170732, 0.9878048780487805, 0.9916158536585366, 0.9878048780487805, 0.9900914634146342, 0.989329268292683, 0.989329268292683, 0.993140243902439, 0.9878048780487805, 0.9916158536585366]","[0.3993055555555556, 0.7129629629629629, 0.9398148148148148, 0.9895833333333334, 0.9965277777777778, 0.9965277777777778, 0.9976851851851852, 0.9965277777777778, 0.9976851851851852, 0.9976851851851852, 0.9976851851851852, 0.9976851851851852, 0.9976851851851852, 0.9976851851851852, 0.9976851851851852]",
0.0001,1,27,Adam,10,3,True,10,0,32,3,"[0.04725609756097561, 0.12652439024390244, 0.19969512195121952, 0.3628048780487805, 0.33689024390243905, 0.3704268292682927, 0.35823170731707316, 0.37652439024390244, 0.37271341463414637, 0.3544207317073171]","[0.08680555555555555, 0.1736111111111111, 0.2847222222222222, 0.28125, 0.28587962962962965, 0.3090277777777778, 0.3229166666666667, 0.32523148148148145, 0.3090277777777778, 0.3229166666666667]",
0.0001,0,27,Adam,10,3,True,10,0,32,3,"[0.3407012195121951, 0.770579268292683, 0.9428353658536586, 0.979420731707317, 0.9908536585365854, 0.9862804878048781, 0.9870426829268293, 0.9916158536585366, 0.9870426829268293, 0.9855182926829268]","[0.6053240740740741, 0.9537037037037037, 0.9942129629629629, 0.9965277777777778, 0.9942129629629629, 0.9965277777777778, 0.9953703703703703, 0.9930555555555556, 0.9953703703703703, 0.9953703703703703]",
